id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2025-01-28,4750.6,0.85
REG02,BAT101,2025-01-28,5150.66,0.92
REG04,BAT301,2025-01-28,4060.71,0.78
REG04,BAT302,2025-01-28,3370.72,0.88
REG04,BAT303,2025-01-28,4440.9,0.75
REG05,BAT401,2025-01-28,5470.71,0.90
REG01,BAT003,2025-02-28,5640.79,0.82
REG02,BAT102,2025-02-28,4230.6,0.87
REG03,BAT201,2025-02-28,3490.64,0.91
REG05,BAT402,2025-02-28,3240.6,0.83
REG01,BAT002,2025-03-28,5930.87,0.79
REG02,BAT101,2025-03-28,3810.66,0.86
REG02,BAT102,2025-03-28,3110.7,0.88
REG04,BAT301,2025-03-28,3640.95,0.84
REG04,BAT302,2025-03-28,3730.59,0.81
REG04,BAT304,2025-03-28,4800.75,0.77
REG01,BAT002,2025-04-28,3480.75,0.89
REG02,BAT102,2025-04-28,5330.66,0.85
REG02,BAT103,2025-04-28,4460.72,0.90
REG03,BAT201,2025-04-28,3470.73,0.87
REG03,BAT202,2025-04-28,4040.72,0.82
REG04,BAT303,2025-04-28,5270.61,0.88
REG04,BAT304,2025-04-28,3690.83,0.86
REG05,BAT402,2025-04-28,3090.92,0.91

